price,part number
387.95,CT32G48C40U5
155.95,F5-5600U3636C16GX2-TZ5S
235.95,CMT32GX5M2X5600C36
77.5,KF560C40BB-16
235.95,F5-5200J3636C16GX2-TZ5RS
173.95,CMT32GX5M2B5600C36
424.95,KVR48U40BS6K2-16
108.95,KF548C38BB-32
261.95,F5-6000J3238F16GX2-TZ5RK
194.95,F5-6000J3040G32GX2-TZ5RK
255.95,KF556C40BBAK2-64
170.95,F4-3600C14Q2-128GTZNA
381.95,F5-5200J4040A16GX2-TZ5RK
427.95,F4-3600C14Q2-64GTEGA
111.95,CMG8GX4M1D3600C18
197.95,KF560C32RS-16
223.95,KF560C32RSK2-32
92.5,KF564C32RSK2-32
162.95,F5-6000J3238G32GX2-RS5K
287.95,F5-6000J3238F16GX2-TZ5RK
537.95,CMK64GX5M2B5200Z40
449.95,F5-6000J3636F16GX2-TZ5NR
197.95,CMT64GX5M2B5600Z40K
1038.95,F5-6000J3040G32GX2-TZ5NR
41.25,F5-7800J3646H16GX2-TZ5RS
84.5,F5-8000J3848H16GX2-TZ5RS
302.95,KF560C40BBAK2-64
356.95,KF556C36BBEAK2-64
484.95,CMT64GX5M4B6600C32
92.95,CMK64GX5M2B6400C32
318.95,CMK64GX5M2B6200C32
263.95,CMK64GX5M4B6200C32
205.95,CT32G52C42U5
407.95,CT2K16G56C46U5
543.95,F5-8000J4048F24GX2-TZ5RS
535.95,F5-8000J4048F24GX2-TZ5RK
636.95,CMT64GX5M2B6400C32
366.95,CMT32GX5M2X7200C34
311.95,KF552C40BWAK2-64
636.95,KF556C40BWAK2-32
398.95,F5-5600J4040D48GX2-TZ5RK
384.95,F5-5600J4040D24GX2-FX5
405.95,F5-5600J4040D48GX2-TZ5NR
169.95,CMT64GX5M2B6000Z30
169.95,F5-6400J3648G24GX2-TZ5RK
473.95,CMZ16GX3M2A1600C10
473.95,CMV8GX3M1A1333C9
345.95,KVR16LN11/8
235.95,CMK16GX4M2A2400C14
238.95,CMK8GX4M1A2666C16
144.95,F4-3200C15D-16GVK
370.95,F4-3200C14D-16GTZ
169.95,KCP316ND8/8
374.95,F4-3200C16Q-32GTZR
353.95,CMK16GX4M1D3000C16
228.95,F4-3600C19D-32GSXKB
107.95,F4-3600C19D-32GVRB
49.25,F4-2666C19D-16GSXK
79.95,CT4G4DFS6266
56.5,F4-3000C16D-16GTRG
28.75,CMT16GX4M2K4000C19
91.5,F4-3600C18D-32GTRG
113.95,F4-3200C14D-16GTZ
61.5,F4-3600C18Q-32GTRG
157.95,F4-3600C18D-32GTZR
50.95,F4-3600C16D-16GTZRC
101.95,F4-3200C16Q-128GTRG
99.5,CMK32GX4M1D3000C16
52.95,CMW16GX4M2Z4000C18
27.75,F4-4000C15D-16GTRG
92.5,F4-3000C16Q-32GTRSU
183.95,F4-4000C17Q-32GTRSU
135.95,CMT32GX4M4C3200C16W
177.95,F4-4266C17D-32GTRGB
186.95,
122.95,F4-3600C16D-64GTRS
98.95,CMH16GX4M2D3600C18
431.95,F4-4000C18D-32GTZN
102.95,F4-4400C17D-32GVK
126.95,F4-4800C17D-16GVK
191.95,CMT64GX4M2E3200C16
237.95,F4-4266C19D-16GTZRC
390.95,F4-4266C19D-16GTRGC
236.95,F4-3600C16D-32GTESC
298.95,F4-3600C16D-16GTEGC
72.95,F4-4600C20D-32GTZR
282.95,F4-4800C20D-32GTES
78.5,F4-3600C16Q-32GTEGC
147.95,KF436C17BBAK2/16
336.95,KF437C19BB/8
334.95,KF426C16BB1K2/32
296.95,KF440C19RB1K2/32
126.95,KF437C19BB1K2/32
140.95,CMT16GX4M2Z3600C14
214.95,CMH16GX4M2Z3600C16
162.95,CMH16GX4M2Z4000C18
199.95,CMN32GX4M2Z4000C18
317.95,CMN64GX4M4Z3200C16
326.95,CMN32GX4M2Z3600C18
79.5,CMG16GX4M2D3600C18
42.25,CMN16GX4M2Z3600C18W
123.95,CMT16GX4M2Z4000C18
163.95,F4-3600C14D-16GTZNA
109.95,CT2K16G48C40U5
255.95,CT2K32G48C40U5
99.5,F4-4600C19D-32GTRS
126.95,CMH16GX4M2Z4000C18
223.95,KF556C40BB-16
