designation,price,description
"WD_Black 3.5"" Gaming Hard Drive 8 To SATA 6Gb/s",313.95,"Seagate IronWolf Pro 8 To (ST8000NT001) - Disque dur 3.5"" 8 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 550 To/an pour NAS 512e (bulk)"
Seagate IronWolf Pro 14 To (ST14000NT001),396.95,"Toshiba P300 2 To HDWD320EZSTA - Disque dur 3.5"" 2 To 7200 RPM 256 Mo Serial ATA 6 Gb/s (version boite)"
Seagate SkyHawk 1 To,47.25,"Western Digital WD Blue 6 To SATA 6Gb/s 256 Mo - Disque dur 3.5"" 6 To 5400 RPM 256 Mo Serial ATA 6Gb/s - WD60EZAZ (bulk)"
Western Digital WD Purple Surveillance Hard Drive 6 To SATA 6Gb/s,168.95,"Western Digital WD Gold 16 To (WD161KRYZ) - Disque dur 3.5"" 16 To 7200 RPM 512 Mo Serial ATA 6 Gb/s 512e pour Centres de données (bulk)"
Western Digital Ultrastar DC HC530 14 To (0F31284),326.95,"Western Digital Ultrastar DC HC550 16 To (0F38462) - Disque dur serveur 3.5"" 16 To 7200 RPM 512 Mo SATA 6Gb/s 4Kn (bulk)"
Western Digital Ultrastar DC HC510 10 To (0F27604),391.95,"Western Digital Ultrastar DC HC550 18 To (0F38459) - Disque dur serveur 3.5"" 18 To 7200 RPM 512 Mo SATA 6Gb/s 4Kn (bulk)"
Western Digital Ultrastar DC HC310 4 To (0B36048),224.95,"Toshiba P300 2 To HDKPB04ZMA01S - Disque dur 3.5"" 2 To 5400 RPM 128 Mo Serial ATA 6 Gb/s (version bulk)"
Western Digital Ultrastar DC HC310 6 To (0B36047),210.95,"Seagate Exos 7E8 3.5 HDD 4 To (ST4000NM000A) - Disque dur serveur 3.5"" 4 To 7200 RPM 256 Mo SATA 6 Gb/s 512n (bulk)"
Western Digital WD Red Pro 14 To SATA 6Gb/s,405.95,"Seagate Exos 7E8 3.5 HDD 6 To (ST6000NM021A) - Disque dur serveur 3.5"" 6 To 7200 RPM 256 Mo SATA 6 Gb/s 512e/4Kn (bulk)"
Western Digital WD Blue 3 To,98.95,"Seagate Exos 7E8 3.5 HDD 8 To (ST8000NM000A) - Disque dur serveur 3.5"" 8 To 7200 RPM 256 Mo SATA 6 Gb/s 512e/4Kn (bulk)"
Seagate SkyHawk AI 16 To (ST16000VE002),337.95,"Western Digital WD Red Plus 14 To - Disque Dur 3.5"" 14 To 512 Mo Serial ATA 6Gb/s 7200 RPM - WD140EFGX"
Seagate IronWolf Pro 8 To (ST8000NT001),220.95,"Seagate SkyHawk AI 12 To (ST12000VE001) - Disque dur 3.5"" 12 To 256 Mo Serial ATA 6 Gb/s pour Vidéosurveillance"
Toshiba P300 2 To HDWD320EZSTA,67.95,"Western Digital WD Purple Pro 14 To - Disque Dur 3.5"" 14 To 512 Mo 7200 RPM Serial ATA 6Gb/s - WD141PURP"
